geo2,geocodenum,p_hs_sigungu2006,p_hs_sido2006,mean2006,gini2006,theil2006,low_inc_dong2006,hi_inc_dong2006,low_inc_sigungu2006,hi_inc_sigungu2006,hsppl2006,d_inc_sigungu2006,x_inc_sigungu_low2006,x_inc_sigungu_high2006,d_inc_sido2006,x_inc_sido_low2006,x_inc_sido_high2006,geocode_str,p_hs_sigungu2010,p_hs_sido2010,mean2010,gini2010,theil2010,low_inc_dong2010,hi_inc_dong2010,low_inc_sigungu2010,hi_inc_sigungu2010,hsppl2010,d_inc_sigungu2010,x_inc_sigungu_low2010,x_inc_sigungu_high2010,d_inc_sido2010,x_inc_sido_low2010,x_inc_sido_high2010
경상북도 김천시,37030,,,,,,,,,,,,,,,,,14-207-011,.13502248,.022764748,332.38715,.32875884,.19552708,2815,789,135,71,667,.513928,.2482921,.4721047,.25659272,.20520614,.72350812
경상북도 안동시,37040,,,,,,,,,,,,,,,,,14-208-011,.11065671,.022764748,352.36395,.33398339,.20221725,2815,789,238,97,919,.3301135,.25134081,.61669189,.25659272,.20520614,.72350812
경상북도 구미시,37050,,,,,,,,,,,,,,,,,14-209-011,.053992338,.022764748,340.37396,.31608438,.20327212,2815,789,488,122,2085,.39139345,.17197163,.68788654,.25659272,.20520614,.72350812
경상북도 영주시,37060,,,,,,,,,,,,,,,,,14-210-011,.089789137,.022764748,329.14441,.34424421,.22590119,2815,789,151,42,594,.36597288,.17888841,.64314646,.25659272,.20520614,.72350812
경상북도 영천시,37070,,,,,,,,,,,,,,,,,14-211-011,.088976145,.022764748,272.19193,.3359836,.21408579,2815,789,140,11,383,.64285713,.064161301,.81659842,.25659272,.20520614,.72350812
경상북도 상주시,37080,,,,,,,,,,,,,,,,,14-212-011,.062513866,.022764748,294.19025,.34884223,.23251072,2815,789,160,17,443,.55992645,.08171013,.76903653,.25659272,.20520614,.72350812
경상북도 문경시,37090,,,,,,,,,,,,,,,,,14-213-011,.068003498,.022764748,266.39307,.36232591,.23190251,2815,789,65,14,239,.6010989,.1171584,.54394972,.25659272,.20520614,.72350812
경상북도 경산시,37100,,,,,,,,,,,,,,,,,14-214-011,.13154086,.022764748,300.21667,.30624759,.17798764,2815,789,310,53,1166,.1253804,.1427023,.83467376,.25659272,.20520614,.72350812
경상북도 군위군,37310,,,,,,,,,,,,,,,,,14-215-011,.13024232,.022764748,231.35715,.32630715,.21193586,2815,789,34,3,82,.35294119,.07763841,.87990195,.25659272,.20520614,.72350812
경상북도 의성군,37320,,,,,,,,,,,,,,,,,14-216-011,.075318977,.022764748,261.26785,.38827345,.2755444,2815,789,75,9,160,.52888888,.091306396,.76088667,.25659272,.20520614,.72350812
경상북도 청송군,37330,,,,,,,,,,,,,,,,,14-217-011,.08114323,.022764748,264.76779,.30989429,.19730851,2815,789,71,3,194,.54929578,.038625695,.91414142,.25659272,.20520614,.72350812
경상북도 영양군,37340,,,,,,,,,,,,,,,,,14-218-011,.074054971,.022764748,264.2016,.29030204,.15234494,2815,789,39,5,94,.66666669,.09259259,.72222221,.25659272,.20520614,.72350812
경상북도 영덕군,37350,,,,,,,,,,,,,,,,,14-219-011,.077532113,.022764748,259.82803,.35231709,.22682616,2815,789,78,11,167,.42074591,.11011937,.78084642,.25659272,.20520614,.72350812
경상북도 청도군,37360,,,,,,,,,,,,,,,,,14-220-011,.089184403,.022764748,465.17725,.46511936,.38530883,2815,789,46,14,181,.61180127,.10379369,.34103641,.25659272,.20520614,.72350812
경상북도 고령군,37370,,,,,,,,,,,,,,,,,14-221-011,.17768595,.022764748,301.73166,.34551659,.23259082,2815,789,109,12,271,.23623854,.096282221,.87456352,.25659272,.20520614,.72350812
경상북도 성주군,37380,,,,,,,,,,,,,,,,,14-222-011,.063248381,.022764748,285.9371,.29078022,.15637729,2815,789,96,10,254,.53125,.065379404,.62764227,.25659272,.20520614,.72350812
